Cluster ID,MergeJoinTransform_JoinType,ExpressionTransform_InputName,xml_filename,MergeJoinTransform_JoinCondition_@JoinExpression,LookupTransform_LookupCondition_@JoinExpression,FlatFileSource_Name__FlatFileSource_ConnectionName__OleDbSource_Name__OleDbDestination_Name__FlatFileDestination_Name__FlatFileDestination_ConnectionName__LookupTransform_LookupSource_@Name,MergeJoinTransform_JoinInput_0_@SourceName__OleDbDestination_Property_0_@Name,MergeJoinTransform_JoinInput_1_@SourceName__OleDbDestination_Property_1_@Name,OleDbDestination_Property_0_#text__OleDbDestination_Property_1_#text
1,OuterJoin,LookUp,xml8.xml,ProductData.IntegrationID  = InventoryData.IntegrationID ,MergedData.ForecastID  = DemandForecasting.ForecastID ,DemandForecasting,DemandForecasting,E-commerceIntegration,ProcessedDemandForecasting
1,OuterJoin,Merge,xml8.xml,ProductData.IntegrationID  = InventoryData.IntegrationID ,MergedData.ForecastID  = E-commerceIntegration.ForecastID ,E-commerceIntegration,DemandForecasting,E-commerceIntegration,ProcessedDemandForecasting
2,LeftJoin,LookUp,xml9.xml,ProductData.TrainingID  = InventoryData.TrainingID ,MergedData.AttendanceID  = EmployeeAttendance.AttendanceID ,EmployeeAttendance,EmployeeAttendance,EmployeeTraining,ProcessedEmployeeAttendance
2,InnerJoin,UnionAll,xml9.xml,ProductData.TrainingID  = InventoryData.TrainingID ,MergedData.AttendanceID  = EmployeeTraining.AttendanceID ,EmployeeTraining,EmployeeAttendance,EmployeeTraining,ProcessedEmployeeAttendance
5,RightJoin,LookUp,xml10.xml,ProductData.ScheduleID  = InventoryData.ScheduleID ,MergedData.BenefitID  = EmployeeBenefits.BenefitID ,EmployeeBenefits,EmployeeBenefits,EmployeeScheduling,ProcessedEmployeeBenefits
5,RightJoin,MultiCast,xml10.xml,ProductData.ScheduleID  = InventoryData.ScheduleID ,MergedData.BenefitID  = EmployeeScheduling.BenefitID ,EmployeeScheduling,EmployeeBenefits,EmployeeScheduling,ProcessedEmployeeBenefits
3,RightJoin,LookUp,xml11.xml,ProductData.ClaimID  = InventoryData.ClaimID ,MergedData.DisciplinaryID  = EmployeeDisciplinary.DisciplinaryID ,EmployeeDisciplinary,EmployeeDisciplinary,EmployeeBenefitsClaims,ProcessedEmployeeDisciplinary
3,OuterJoin,MultiCast,xml11.xml,ProductData.ClaimID  = InventoryData.ClaimID ,MergedData.DisciplinaryID  = EmployeeBenefitsClaims.DisciplinaryID ,EmployeeBenefitsClaims,EmployeeDisciplinary,EmployeeBenefitsClaims,ProcessedEmployeeDisciplinary
2,OuterJoin,MultiCast,xml12.xml,ProductData.TrainingLogID  = InventoryData.TrainingLogID ,MergedData.EngagementID  = EmployeeEngagement.EngagementID ,EmployeeEngagement,EmployeeEngagement,EmployeeTrainingLogs,ProcessedEmployeeEngagement
2,LeftJoin,MultiCast,xml12.xml,ProductData.TrainingLogID  = InventoryData.TrainingLogID ,MergedData.EngagementID  = EmployeeTrainingLogs.EngagementID ,EmployeeTrainingLogs,EmployeeEngagement,EmployeeTrainingLogs,ProcessedEmployeeEngagement
2,RightJoin,MultiCast,xml13.xml,ProductData.InspectionID  = InventoryData.InspectionID ,MergedData.ConsumptionID  = EnergyConsumption.ConsumptionID ,EnergyConsumption,EnergyConsumption,FacilityInspections,ProcessedEnergyConsumption
5,OuterJoin,Merge,xml13.xml,ProductData.InspectionID  = InventoryData.InspectionID ,MergedData.ConsumptionID  = FacilityInspections.ConsumptionID ,FacilityInspections,EnergyConsumption,FacilityInspections,ProcessedEnergyConsumption
0,LeftJoin,UnionAll,xml14.xml,ProductData.SecurityID  = InventoryData.SecurityID ,MergedData.UtilizationID  = FacilityUtilization.UtilizationID ,FacilityUtilization,FacilityUtilization,FacilitySecurity,ProcessedFacilityUtilization
0,InnerJoin,Merge,xml14.xml,ProductData.SecurityID  = InventoryData.SecurityID ,MergedData.UtilizationID  = FacilitySecurity.UtilizationID ,FacilitySecurity,FacilityUtilization,FacilitySecurity,ProcessedFacilityUtilization
0,LeftJoin,LookUp,xml15.xml,ProductData.PerformanceID  = InventoryData.PerformanceID ,MergedData.ReportID  = FinancialReports.ReportID ,FinancialReports,FinancialReports,SalesPerformance,ProcessedFinancialReports
0,LeftJoin,MergeJoin,xml15.xml,ProductData.PerformanceID  = InventoryData.PerformanceID ,MergedData.ReportID  = SalesPerformance.ReportID ,SalesPerformance,FinancialReports,SalesPerformance,ProcessedFinancialReports
5,OuterJoin,Merge,xml16.xml,ProductData.ReportID  = InventoryData.ReportID ,MergedData.DataID  = ForecastingData.DataID ,ForecastingData,ForecastingData,ExpenseReports,ProcessedForecastingData
5,RightJoin,MergeJoin,xml16.xml,ProductData.ReportID  = InventoryData.ReportID ,MergedData.DataID  = ExpenseReports.DataID ,ExpenseReports,ForecastingData,ExpenseReports,ProcessedForecastingData
5,LeftJoin,LookUp,xml17.xml,ProductData.RegulationID  = InventoryData.RegulationID ,MergedData.ComplianceID  = GlobalTradeCompliance.ComplianceID ,GlobalTradeCompliance,GlobalTradeCompliance,GovernmentRegulations,ProcessedGlobalTradeCompliance
5,RightJoin,MultiCast,xml17.xml,ProductData.RegulationID  = InventoryData.RegulationID ,MergedData.ComplianceID  = GovernmentRegulations.ComplianceID ,GovernmentRegulations,GlobalTradeCompliance,GovernmentRegulations,ProcessedGlobalTradeCompliance
1,LeftJoin,UnionAll,xml18.xml,ProductData.TrackingID  = InventoryData.TrackingID ,MergedData.StatusID  = InventoryStatus.StatusID ,InventoryStatus,InventoryStatus,ShipmentTracking,ProcessedInventoryStatus
1,InnerJoin,MergeJoin,xml18.xml,ProductData.TrackingID  = InventoryData.TrackingID ,MergedData.StatusID  = ShipmentTracking.StatusID ,ShipmentTracking,InventoryStatus,ShipmentTracking,ProcessedInventoryStatus
2,RightJoin,LookUp,xml19.xml,ProductData.ControlID  = InventoryData.ControlID ,MergedData.ItemID  = LostAndFound.ItemID ,LostAndFound,LostAndFound,QualityControl,ProcessedLostAndFound
2,InnerJoin,LookUp,xml19.xml,ProductData.ControlID  = InventoryData.ControlID ,MergedData.ItemID  = QualityControl.ItemID ,QualityControl,LostAndFound,QualityControl,ProcessedLostAndFound
5,OuterJoin,Sort,xml20.xml,ProductData.CampaignID  = InventoryData.CampaignID ,MergedData.StrategyID  = MarketExpansionStrategies.StrategyID ,MarketExpansionStrategies,MarketExpansionStrategies,MarketingCampaigns,ProcessedMarketExpansionStrategies
2,InnerJoin,Merge,xml20.xml,ProductData.CampaignID  = InventoryData.CampaignID ,MergedData.StrategyID  = MarketingCampaigns.StrategyID ,MarketingCampaigns,MarketExpansionStrategies,MarketingCampaigns,ProcessedMarketExpansionStrategies
4,InnerJoin,MergeJoin,xml21.xml,ProductData.AnalysisID  = InventoryData.AnalysisID ,MergedData.ResearchID  = MarketResearchData.ResearchID ,MarketResearchData,MarketResearchData,MarketTrendsAnalysis,ProcessedMarketResearchData
4,InnerJoin,Sort,xml21.xml,ProductData.AnalysisID  = InventoryData.AnalysisID ,MergedData.ResearchID  = MarketTrendsAnalysis.ResearchID ,MarketTrendsAnalysis,MarketResearchData,MarketTrendsAnalysis,ProcessedMarketResearchData
2,LeftJoin,MultiCast,xml22.xml,ProductData.BillingID  = InventoryData.BillingID ,MergedData.FulfillmentID  = OrderFulfillment.FulfillmentID ,OrderFulfillment,OrderFulfillment,OrderBilling,ProcessedOrderFulfillment
2,InnerJoin,Sort,xml22.xml,ProductData.BillingID  = InventoryData.BillingID ,MergedData.FulfillmentID  = OrderBilling.FulfillmentID ,OrderBilling,OrderFulfillment,OrderBilling,ProcessedOrderFulfillment
3,OuterJoin,Sort,xml23.xml,ProductData.ItemDetailID  = InventoryData.ItemDetailID ,MergedData.OrderHistoryID  = OrderHistory.OrderHistoryID ,OrderHistory,OrderHistory,OrderItemDetails,ProcessedOrderHistory
3,InnerJoin,Merge,xml23.xml,ProductData.ItemDetailID  = InventoryData.ItemDetailID ,MergedData.OrderHistoryID  = OrderItemDetails.OrderHistoryID ,OrderItemDetails,OrderHistory,OrderItemDetails,ProcessedOrderHistory
4,RightJoin,MergeJoin,xml24.xml,ProductData.PricingID  = InventoryData.PricingID ,MergedData.AttributeID  = ProductAttributes.AttributeID ,ProductAttributes,ProductAttributes,ProductPricing,ProcessedProductAttributes
4,OuterJoin,LookUp,xml24.xml,ProductData.PricingID  = InventoryData.PricingID ,MergedData.AttributeID  = ProductPricing.AttributeID ,ProductPricing,ProductAttributes,ProductPricing,ProcessedProductAttributes
2,InnerJoin,LookUp,xml25.xml,ProductData.ContactID  = InventoryData.ContactID ,MergedData.ContactID   = ProductCatalog.ContactID  ,ProductCatalog,ProductCatalog,SupplierContact,ProcessedProductCatalog
2,LeftJoin,LookUp,xml25.xml,ProductData.ContactID  = InventoryData.ContactID ,MergedData.ContactID   = SupplierContact.ContactID  ,SupplierContact,ProductCatalog,SupplierContact,ProcessedProductCatalog
0,LeftJoin,Sort,xml26.xml,ProductData.FeedbackID  = InventoryData.FeedbackID ,MergedData.ReviewID  = ProductReviews.ReviewID ,ProductReviews,ProductReviews,CustomerFeedback,ProcessedProductReviews
0,InnerJoin,Sort,xml26.xml,ProductData.FeedbackID  = InventoryData.FeedbackID ,MergedData.ReviewID  = CustomerFeedback.ReviewID ,CustomerFeedback,ProductReviews,CustomerFeedback,ProcessedProductReviews
5,OuterJoin,Merge,xml27.xml,ProductData.AdjustmentID  = InventoryData.AdjustmentID ,MergedData.ReturnID  = ReturnsHistory.ReturnID ,ReturnsHistory,ReturnsHistory,PriceAdjustments,ProcessedReturnsHistory
5,RightJoin,MergeJoin,xml27.xml,ProductData.AdjustmentID  = InventoryData.AdjustmentID ,MergedData.ReturnID  = PriceAdjustments.ReturnID ,PriceAdjustments,ReturnsHistory,PriceAdjustments,ProcessedReturnsHistory
2,InnerJoin,Sort,xml28.xml,ProductData.EmployeeID  = InventoryData.EmployeeID ,MergedData.LocationID  = StoreLocation.LocationID ,StoreLocation,StoreLocation,EmployeeDetails,ProcessedStoreLocation
2,InnerJoin,MergeJoin,xml28.xml,ProductData.EmployeeID  = InventoryData.EmployeeID ,MergedData.LocationID  = EmployeeDetails.LocationID ,EmployeeDetails,StoreLocation,EmployeeDetails,ProcessedStoreLocation
0,RightJoin,MultiCast,xml29.xml,ProductData.PerformanceID  = InventoryData.PerformanceID ,MergedData.ContractID  = VendorContracts.ContractID ,VendorContracts,VendorContracts,SupplierPerformance,ProcessedVendorContracts
0,LeftJoin,Merge,xml29.xml,ProductData.PerformanceID  = InventoryData.PerformanceID ,MergedData.ContractID  = SupplierPerformance.ContractID ,SupplierPerformance,VendorContracts,SupplierPerformance,ProcessedVendorContracts
2,LeftJoin,MergeJoin,xml30.xml,ProductData.EquipmentID  = InventoryData.EquipmentID ,MergedData.WarehouseID  = WarehouseLocation.WarehouseID ,WarehouseLocation,WarehouseLocation,RentalEquipment,ProcessedWarehouseLocation
2,RightJoin,LookUp,xml30.xml,ProductData.EquipmentID  = InventoryData.EquipmentID ,MergedData.WarehouseID  = RentalEquipment.WarehouseID ,RentalEquipment,WarehouseLocation,RentalEquipment,ProcessedWarehouseLocation
2,RightJoin,MultiCast,xml31.xml,ProductData.AddressID  = InventoryData.AddressID ,MergedData. FirstName  = customer. FirstName ,customer,customer,customer_address,Processedcustomer
2,LeftJoin,MultiCast,xml31.xml,ProductData.AddressID  = InventoryData.AddressID ,MergedData. FirstName  = customer_address. FirstName ,customer_address,customer,customer_address,Processedcustomer
4,LeftJoin,MultiCast,xml32.xml,ProductData.AccountID  = InventoryData.AccountID ,MergedData.CustomerInfoID  = CustomerInformation.CustomerInfoID ,CustomerInformation,CustomerInformation,AccountDetails,ProcessedCustomerInformation
4,InnerJoin,MultiCast,xml32.xml,ProductData.AccountID  = InventoryData.AccountID ,MergedData.CustomerInfoID  = AccountDetails.CustomerInfoID ,AccountDetails,CustomerInformation,AccountDetails,ProcessedCustomerInformation
0,InnerJoin,MultiCast,xml33.xml,ProductData.LoanID  = InventoryData.LoanID ,MergedData.RequestID  = CustomerRequests.RequestID ,CustomerRequests,CustomerRequests,LoanDetails,ProcessedCustomerRequests
0,LeftJoin,LookUp,xml33.xml,ProductData.LoanID  = InventoryData.LoanID ,MergedData.RequestID  = LoanDetails.RequestID ,LoanDetails,CustomerRequests,LoanDetails,ProcessedCustomerRequests
1,RightJoin,UnionAll,xml34.xml,ProductData.TransactionID  = InventoryData.TransactionID ,MergedData.CardID  = CreditCardDetails.CardID ,CreditCardDetails,CreditCardDetails,TransactionHistory,ProcessedCreditCardDetails
1,RightJoin,UnionAll,xml34.xml,ProductData.TransactionID  = InventoryData.TransactionID ,MergedData.CardID  = TransactionHistory.CardID ,TransactionHistory,CreditCardDetails,TransactionHistory,ProcessedCreditCardDetails
2,OuterJoin,MergeJoin,xml35.xml,ProductData.OrderDetailID  = InventoryData.OrderDetailID ,MergedData.OrderID  = CustomerCustomerOrders.OrderID ,CustomerCustomerOrders,CustomerCustomerOrders,OrderDetails,ProcessedCustomerOrders
2,LeftJoin,MergeJoin,xml35.xml,ProductData.OrderDetailID  = InventoryData.OrderDetailID ,MergedData.OrderID  = OrderDetails.OrderID ,OrderDetails,CustomerCustomerOrders,OrderDetails,ProcessedCustomerOrders
1,RightJoin,UnionAll,xml36.xml,ProductData.ShipmentRecordID  = InventoryData.ShipmentRecordID ,MergedData.PurchaseOrderID  = PurchasePurchaseOrders.PurchaseOrderID ,PurchasePurchaseOrders,PurchasePurchaseOrders,ShipmentRecords,ProcessedPurchaseOrders
4,RightJoin,Sort,xml36.xml,ProductData.ShipmentRecordID  = InventoryData.ShipmentRecordID ,MergedData.PurchaseOrderID  = ShipmentRecords.PurchaseOrderID ,ShipmentRecords,PurchasePurchaseOrders,ShipmentRecords,ProcessedPurchaseOrders
5,LeftJoin,MultiCast,xml37.xml,ProductData.ProductOrderID  = InventoryData.ProductOrderID ,MergedData.EmployeeOrderID  = EmployeeEmployeeOrders.EmployeeOrderID ,EmployeeEmployeeOrders,EmployeeEmployeeOrders,ProductEmployeeOrders,ProcessedEmployeeOrders
5,OuterJoin,Sort,xml37.xml,ProductData.ProductOrderID  = InventoryData.ProductOrderID ,MergedData.EmployeeOrderID  = ProductEmployeeOrders.EmployeeOrderID ,ProductEmployeeOrders,EmployeeEmployeeOrders,ProductEmployeeOrders,ProcessedEmployeeOrders
5,OuterJoin,LookUp,xml38.xml,ProductData.ReturnOrderID  = InventoryData.ReturnOrderID ,MergedData.SalesOrderID  = SalesSalesOrders.SalesOrderID ,SalesSalesOrders,SalesSalesOrders,ReturnSalesOrders,ProcessedSalesOrders
5,InnerJoin,LookUp,xml38.xml,ProductData.ReturnOrderID  = InventoryData.ReturnOrderID ,MergedData.SalesOrderID  = ReturnSalesOrders.SalesOrderID ,ReturnSalesOrders,SalesSalesOrders,ReturnSalesOrders,ProcessedSalesOrders
5,OuterJoin,MergeJoin,xml39.xml,ProductData.InventoryOrderID  = InventoryData.InventoryOrderID ,MergedData.ServiceRequestID  = ServiceRequests.ServiceRequestID ,ServiceRequests,ServiceRequests,InventoryServiceRequests,ProcessedServiceRequests
5,OuterJoin,MergeJoin,xml39.xml,ProductData.InventoryOrderID  = InventoryData.InventoryOrderID ,MergedData.ServiceRequestID  = InventoryServiceRequests.ServiceRequestID ,InventoryServiceRequests,ServiceRequests,InventoryServiceRequests,ProcessedServiceRequests
1,InnerJoin,LookUp,xml40.xml,ProductData.ProjectOrderID  = InventoryData.ProjectOrderID ,MergedData.RepairOrderID  = RepairRepairOrders.RepairOrderID ,RepairRepairOrders,RepairRepairOrders,ProjectRepairOrders,ProcessedRepairOrders
1,OuterJoin,UnionAll,xml40.xml,ProductData.ProjectOrderID  = InventoryData.ProjectOrderID ,MergedData.RepairOrderID  = ProjectRepairOrders.RepairOrderID ,ProjectRepairOrders,RepairRepairOrders,ProjectRepairOrders,ProcessedRepairOrders
5,OuterJoin,MergeJoin,xml41.xml,ProductData.TrainingOrderID  = InventoryData.TrainingOrderID ,MergedData.SubscriptionOrderID  = SubscriptionSubscriptionOrders.SubscriptionOrderID ,SubscriptionSubscriptionOrders,SubscriptionSubscriptionOrders,TrainingSubscriptionOrders,ProcessedSubscriptionOrders
5,LeftJoin,Merge,xml41.xml,ProductData.TrainingOrderID  = InventoryData.TrainingOrderID ,MergedData.SubscriptionOrderID  = TrainingSubscriptionOrders.SubscriptionOrderID ,TrainingSubscriptionOrders,SubscriptionSubscriptionOrders,TrainingSubscriptionOrders,ProcessedSubscriptionOrders
1,LeftJoin,Sort,xml42.xml,ProductData.ApplicationID  = InventoryData.ApplicationID ,MergedData.MaintenanceOrderID  = MaintenanceMaintenanceOrders.MaintenanceOrderID ,MaintenanceMaintenanceOrders,MaintenanceMaintenanceOrders,LoanApplications,ProcessedMaintenanceOrders
1,OuterJoin,UnionAll,xml42.xml,ProductData.ApplicationID  = InventoryData.ApplicationID ,MergedData.MaintenanceOrderID  = LoanApplications.MaintenanceOrderID ,LoanApplications,MaintenanceMaintenanceOrders,LoanApplications,ProcessedMaintenanceOrders
3,OuterJoin,LookUp,xml43.xml,ProductData.MarketingOrderID  = InventoryData.MarketingOrderID ,MergedData.InspectionOrderID  = InspectionInspectionOrders.InspectionOrderID ,InspectionInspectionOrders,InspectionInspectionOrders,MarketingInspectionOrders,ProcessedInspectionOrders
3,RightJoin,Merge,xml43.xml,ProductData.MarketingOrderID  = InventoryData.MarketingOrderID ,MergedData.InspectionOrderID  = MarketingInspectionOrders.InspectionOrderID ,MarketingInspectionOrders,InspectionInspectionOrders,MarketingInspectionOrders,ProcessedInspectionOrders
1,LeftJoin,MultiCast,xml44.xml,ProductData.LicenseOrderID  = InventoryData.LicenseOrderID ,MergedData.RenewalID  = SubscriptionRenewals.RenewalID ,SubscriptionRenewals,SubscriptionRenewals,LicenseSubscriptionRenewals,ProcessedSubscriptionRenewals
1,RightJoin,LookUp,xml44.xml,ProductData.LicenseOrderID  = InventoryData.LicenseOrderID ,MergedData.RenewalID  = LicenseSubscriptionRenewals.RenewalID ,LicenseSubscriptionRenewals,SubscriptionRenewals,LicenseSubscriptionRenewals,ProcessedSubscriptionRenewals
0,InnerJoin,MultiCast,xml45.xml,ProductData.AdvertisementOrderID  = InventoryData.AdvertisementOrderID ,MergedData.LeaseOrderID  = LeaseLeaseOrders.LeaseOrderID ,LeaseLeaseOrders,LeaseLeaseOrders,AdvertisementLeaseOrders,ProcessedLeaseOrders
0,InnerJoin,MultiCast,xml45.xml,ProductData.AdvertisementOrderID  = InventoryData.AdvertisementOrderID ,MergedData.LeaseOrderID  = AdvertisementLeaseOrders.LeaseOrderID ,AdvertisementLeaseOrders,LeaseLeaseOrders,AdvertisementLeaseOrders,ProcessedLeaseOrders
5,RightJoin,Sort,xml46.xml,ProductData.TravelOrderID  = InventoryData.TravelOrderID ,MergedData.EventOrderID  = EventEventOrders.EventOrderID ,EventEventOrders,EventEventOrders,TravelEventOrders,ProcessedEventOrders
5,LeftJoin,UnionAll,xml46.xml,ProductData.TravelOrderID  = InventoryData.TravelOrderID ,MergedData.EventOrderID  = TravelEventOrders.EventOrderID ,TravelEventOrders,EventEventOrders,TravelEventOrders,ProcessedEventOrders
4,LeftJoin,MultiCast,xml47.xml,ProductData.MembershipOrderID  = InventoryData.MembershipOrderID ,MergedData.FacilityOrderID  = FacilityFacilityOrders.FacilityOrderID ,FacilityFacilityOrders,FacilityFacilityOrders,MembershipFacilityOrders,ProcessedFacilityOrders
4,OuterJoin,Sort,xml47.xml,ProductData.MembershipOrderID  = InventoryData.MembershipOrderID ,MergedData.FacilityOrderID  = MembershipFacilityOrders.FacilityOrderID ,MembershipFacilityOrders,FacilityFacilityOrders,MembershipFacilityOrders,ProcessedFacilityOrders
0,InnerJoin,Sort,xml48.xml,ProductData.SupplyOrderID  = InventoryData.SupplyOrderID ,MergedData.ConsultingOrderID  = ConsultingConsultingOrders.ConsultingOrderID ,ConsultingConsultingOrders,ConsultingConsultingOrders,SupplyConsultingOrders,ProcessedConsultingOrders
0,InnerJoin,MultiCast,xml48.xml,ProductData.SupplyOrderID  = InventoryData.SupplyOrderID ,MergedData.ConsultingOrderID  = SupplyConsultingOrders.ConsultingOrderID ,SupplyConsultingOrders,ConsultingConsultingOrders,SupplyConsultingOrders,ProcessedConsultingOrders
2,RightJoin,Merge,xml49.xml,ProductData.SurveyOrderID  = InventoryData.SurveyOrderID ,MergedData.MaterialOrderID  = TrainingMaterialTrainingMaterialOrders.MaterialOrderID ,TrainingMaterialTrainingMaterialOrders,TrainingMaterialTrainingMaterialOrders,SurveyTrainingMaterialOrders,ProcessedTrainingMaterialOrders
2,OuterJoin,MultiCast,xml49.xml,ProductData.SurveyOrderID  = InventoryData.SurveyOrderID ,MergedData.MaterialOrderID  = SurveyTrainingMaterialOrders.MaterialOrderID ,SurveyTrainingMaterialOrders,TrainingMaterialTrainingMaterialOrders,SurveyTrainingMaterialOrders,ProcessedTrainingMaterialOrders
0,LeftJoin,Sort,xml50.xml,ProductData.PromotionID  = InventoryData.PromotionID ,MergedData.CategoryID  = CategoryCatalog.CategoryID ,CategoryCatalog,CategoryCatalog,PromotionDetails,ProcessedCategoryCatalog
0,LeftJoin,LookUp,xml50.xml,ProductData.PromotionID  = InventoryData.PromotionID ,MergedData.CategoryID  = PromotionDetails.CategoryID ,PromotionDetails,CategoryCatalog,PromotionDetails,ProcessedCategoryCatalog
1,RightJoin,UnionAll,xml51.xml,ProductData.PricingID  = InventoryData.PricingID ,MergedData.CompetitorID  = CompetitorAnalysis.CompetitorID ,CompetitorAnalysis,CompetitorAnalysis,CompetitorPricing,ProcessedCompetitorAnalysis
1,OuterJoin,UnionAll,xml51.xml,ProductData.PricingID  = InventoryData.PricingID ,MergedData.CompetitorID  = CompetitorPricing.CompetitorID ,CompetitorPricing,CompetitorAnalysis,CompetitorPricing,ProcessedCompetitorAnalysis
4,OuterJoin,MultiCast,xml52.xml,ProductData.ComplianceID  = InventoryData.ComplianceID ,MergedData.RecordID  = ComplianceRecords.RecordID ,ComplianceRecords,ComplianceRecords,LegalCompliance,ProcessedComplianceRecords
4,InnerJoin,UnionAll,xml52.xml,ProductData.ComplianceID  = InventoryData.ComplianceID ,MergedData.RecordID  = LegalCompliance.RecordID ,LegalCompliance,ComplianceRecords,LegalCompliance,ProcessedComplianceRecords
5,OuterJoin,UnionAll,xml53.xml,ProductData.LoyaltyID  = InventoryData.LoyaltyID ,MergedData.AcquisitionID  = CustomerAcquisition.AcquisitionID ,CustomerAcquisition,CustomerAcquisition,CustomerLoyalty,ProcessedCustomerAcquisition
5,RightJoin,UnionAll,xml53.xml,ProductData.LoyaltyID  = InventoryData.LoyaltyID ,MergedData.AcquisitionID  = CustomerLoyalty.AcquisitionID ,CustomerLoyalty,CustomerAcquisition,CustomerLoyalty,ProcessedCustomerAcquisition
1,LeftJoin,MultiCast,xml54.xml,ProductData.TransactionID  = InventoryData.TransactionID ,MergedData. FirstName  = CustomerInfo. FirstName ,CustomerInfo,CustomerInfo,TransactionHistory,ProcessedCustomerInfo
1,InnerJoin,UnionAll,xml54.xml,ProductData.TransactionID  = InventoryData.TransactionID ,MergedData. FirstName  = TransactionHistory. FirstName ,TransactionHistory,CustomerInfo,TransactionHistory,ProcessedCustomerInfo
5,OuterJoin,UnionAll,xml55.xml,ProductData.RetentionID  = InventoryData.RetentionID ,MergedData.PreferenceID  = CustomerPreferences.PreferenceID ,CustomerPreferences,CustomerPreferences,CustomerRetention,ProcessedCustomerPreferences
5,OuterJoin,LookUp,xml55.xml,ProductData.RetentionID  = InventoryData.RetentionID ,MergedData.PreferenceID  = CustomerRetention.PreferenceID ,CustomerRetention,CustomerPreferences,CustomerRetention,ProcessedCustomerPreferences
4,OuterJoin,LookUp,xml56.xml,ProductData.LogID  = InventoryData.LogID ,MergedData.SegmentID  = CustomerSegments.SegmentID ,CustomerSegments,CustomerSegments,CustomerSupportLogs,ProcessedCustomerSegments
